Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1,M015,P.S. 15 - MANHATTAN,SCA IEH,"PO18-ABATE AND REPLACE THE FLOOR IN THE FOLLOWING ROOMS: 202, 208, 210, 212, 315, 402, 406, 408,  50",Construction,Complete,7/19/2024,IEH,10/9/2024,IEH,0.00,0.00,SCA0000073155
1,M015,P.S. 15 - MANHATTAN,SCA IEH,"PO18-/ABATEMENT OF PIPE INSULATION RM 219 PIPE INSULATION IS PAINTED ORANGE,  TOTAL OF APPROXIMATELY",Construction,Complete,9/17/2024,IEH,9/29/2024,IEH,0.00,0.00,SCA0000073384
1,M015,P.S. 15 - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,In-Progress,6/28/2024,DOER,,DOER,206654.00,0.00,DSF0001086173
1,M015,P.S. 15 - MANHATTAN,DOE - Skilled Trades,SCHOOLYARD RESURFACING,Construction,In-Progress,2/19/2024,DOES,,DOES,814540.00,0.00,DSF0001017369
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,4/13/2021,9/13/2021,7/1/2021,68660,74771.00,74771.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,7/6/2021,12/7/2021,11/29/2021,343300,378273.00,316860.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,7/18/2022,7/16/2024,,7724250,7131032.00,5575856.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,7/18/2022,7/16/2024,,480620,193553.00,193338.00,"DSF0001008800, DSF0000991942"
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/22/2023,10/23/2023,7/6/2023,4240,1703.00,1703.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/6/2023,1/3/2024,12/13/2023,19080,6814.00,6814.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/27/2024,5/26/2025,,245920,224898.00,4666.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/27/2024,5/26/2025,,49844,32189.00,18574.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,12/23/2024,DOER,,DOER,141466.00,0.00,DSF0001035064
1,M019,P.S. 315 - MANHATTAN,DOE - RESOA,FY24 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,65000.00,0.00,DSF0001086175
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Scope,Complete,5/26/2021,10/12/2021,1/21/2022,124674,160771.00,160771.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Design,Complete,1/21/2022,6/22/2022,5/10/2022,613841,521743.00,513615.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Construction,In-Progress,9/19/2022,6/9/2024,,12987707,12196322.00,11928701.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,"CM,F&E",In-Progress,9/19/2022,6/9/2024,,944133,344598.00,315667.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,Fast Track Projects,IPDVS INSTALLATIONS,Construction,In-Progress,12/27/2024,FTK,,FTK,2244.00,2244.00,DSF0001087468
1,M020,P.S. 20 - MANHATTAN,DOE - RESOA,FY19 RESO A HYDROPONICS LAB,Construction,Complete,3/22/2019,DOER,4/13/2020,DOER,162518.00,162518.00,DSF0000890659
1,M020,P.S. 20 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/7/2021,DOES,,DOES,195021.00,0.00,DSF0001008690
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,4/22/2021,9/7/2021,12/21/2021,195550,193921.00,191326.00,"DSF0000961144, DSF0001017428"
